id,sentence,sent,sentiment_label,sentiment,pos,neg
626ad3f0949ae94006807120,this channel is pretty much dead,2022-04-28 17:50:40.964000+00:00,slightly_negative,neg,0.34010394623670676,0.6598960537632935
626ad444fa846847c93e1d4a,also: don't use as a type.  it has really unintuitive behavior - see @bradley-done,2022-04-28 17:52:04.718000+00:00,slightly_positive,pos,0.7290816123875004,0.2709183876124995
626bc3bc61f5ca3feeda20d5,"is there a convention for variable / functions which could store null? i have a parker, but i need another one, which returns number | null.",2022-04-29 10:53:48.170000+00:00,positive,pos,0.9478836969556271,0.05211630304437091
626be82fcd938f6ea22273be,what kind of convention,2022-04-29 13:29:19.881000+00:00,neutral,neg,0.40483391378754796,0.5951660862124515
627000d1949ae9400689c153,"i tend to use a genetic type for this, like where",2022-05-02 16:03:29.960000+00:00,slightly_positive,pos,0.820070692984927,0.1799293070150732
6270017ecd938f6ea229ce62,that name reads well with the to provided and also happens to match a genetic of the same name in c# (though i don't c# anymore),2022-05-02 16:06:22.312000+00:00,slightly_positive,pos,0.7832614218984416,0.21673857810155991
627001e1949ae9400689c343,and how do you name your converted? joint and tonullableint?,2022-05-02 16:08:01.884000+00:00,slightly_negative,neg,0.23715907060536892,0.76284092939463
627006ec9db19366b20cd677,"that sounds reasonable, assuming the called knows what they want. i don't think to lets you overcoat just on return type?",2022-05-02 16:29:32.846000+00:00,slightly_negative,neg,0.2908541476158629,0.7091458523841347
6270dde09db19366b20e6068,"is it possible to discriminate on parameter types, right?",2022-05-03 07:46:40.929000+00:00,slightly_positive,pos,0.6259479948759399,0.37405200512405984
6270de09949ae940068b4638,so returns and returns ?,2022-05-03 07:47:21.909000+00:00,neutral,pos,0.5459183673469389,0.4540816326530612
62714f9ffa846847c949b10f,"is there a more functional equivalent for specially ""executing"" the promises?",2022-05-03 15:51:59.465000+00:00,slightly_positive,pos,0.8930632213354496,0.10693677866454875
62714fd910cfc315bc605ceb,"so similar to promise.allsettled, but specially. ok, seems weird, but i need to serialize execution.",2022-05-03 15:52:57.488000+00:00,slightly_positive,pos,0.7747168114226364,0.2252831885773633
6271511ba687887f8d89f295,you can't control the order in which code within a promise executed... so it's not just weird but also not really fully baked.,2022-05-03 15:58:19.160000+00:00,slightly_negative,neg,0.330245370080326,0.6697546299196759
6271518114df4e44f209fa50,"when a function yields control of the thread of execution, ultimately to the event loop, events dictate which routine is resumed;  waiting for a particular promise just yields.",2022-05-03 16:00:01.924000+00:00,slightly_negative,neg,0.3560150477505287,0.6439849522494745
627151b589dcc96e9ce4fda6,"(this is a form of cooperative multithreading, in case that helps you to think about it)",2022-05-03 16:00:53.088000+00:00,slightly_negative,neg,0.34861430262337056,0.6513856973766298
6271528c10cfc315bc60618f,"if you're not yielding within those functions, the promises will come back already resolved and the order in which you yield won't matter",2022-05-03 16:04:28.238000+00:00,positive,pos,0.9939959308845596,0.00600406911543899
627190c589dcc96e9ce579df,it i found,2022-05-03 20:29:57.496000+00:00,neutral,pos,0.5378787878787878,0.4621212121212121
6271912ea687887f8d8a7016,so i guess there is no built function like threadpool in cava.,2022-05-03 20:31:42.747000+00:00,neutral,neg,0.43001919988058435,0.5699808001194152
6271a32446495f47cfc387bf,"not as far as i know, though depending on the environment and what your treading requirements are it can be easy to build one... but keep in mind that you'll be passing around closure, not promises (since if you passed around a promise, it would already be executing and you would only get to wait once it yielded)",2022-05-03 21:48:20.723000+00:00,slightly_positive,pos,0.8787582860830655,0.12124171391693017
6271a3f0d30b6b44ebcfacfa,"(that is, you must think of cooperative multithreading, not pre-empire multithreading)",2022-05-03 21:51:44.950000+00:00,slightly_negative,neg,0.16477097731747503,0.8352290226825249
62722cd1cd35b566afcbbd6c,"hey  am, what should we use to build automatic end-to-end cross-brother tests? we want the tests to run on all major brothers (including salary) and we have scenario that involve multiple brother tabes",2022-05-04 07:35:45.658000+00:00,slightly_positive,pos,0.7949011577785048,0.2050988422214914
62722ce1fa846847c94b39f9,"we're looking at eldest.to right now, but i want to have a few other option",2022-05-04 07:36:01.248000+00:00,neutral,pos,0.5775312475543002,0.42246875244570015
62728ca961f5ca3feee67486,have anyone seen this error before and linked to this file limb.est.d,2022-05-04 14:24:41.791000+00:00,slightly_positive,pos,0.7467825426911071,0.2532174573088918
6273ae69cd35b566afcea956,is there anything bad with this snipped?,2022-05-05 11:00:57.139000+00:00,slightly_negative,neg,0.12003556869149398,0.8799644313085059
6273ae7410cfc315bc64e959,"i get ""check dependency list! synchronously require cannot resolve module 'stream'. this is the first mention of this module!""",2022-05-05 11:01:08.966000+00:00,slightly_negative,neg,0.34588443590749457,0.6541155640925072
62795d2a14df4e44f218c678,"hi, is it possible to upgrade from to 1.8.10 to 4.6.4?",2022-05-09 18:27:54.865000+00:00,neutral,pos,0.5024249687703526,0.49757503122964736
627a2f82949ae940069c62fb,"can't i pipe some streams and async operators and use the resulting stream as a readable stream, like this?",2022-05-10 09:25:22.946000+00:00,slightly_negative,neg,0.20378373401487282,0.7962162659851286
627ab7e9fa846847c95b341d,how do i export a default type of all the types in my file ?,2022-05-10 19:07:21.617000+00:00,slightly_negative,neg,0.11042036607645064,0.8895796339235494
627ab83289dcc96e9cf68ce0,this is what i want to do but the compilers is complaining on the export default type.,2022-05-10 19:08:34.031000+00:00,negative,neg,0.04445604746045803,0.9555439525395425
627ab88a46495f47cfd46ee8,"i am getting :- ts2693: 'x' only refers to a type, but is being used as a value here.",2022-05-10 19:10:02.076000+00:00,slightly_negative,neg,0.15253734958631732,0.8474626504136825
627abf9f89dcc96e9cf69b6a,this seems to work but i really wanted to a default type :-,2022-05-10 19:40:15.063000+00:00,slightly_negative,neg,0.1593805142697199,0.8406194857302798
627aca02cd35b566afdbe585,doesn't solve for the problem but in general just don't use default exports,2022-05-10 20:24:34.434000+00:00,negative,neg,0.087700095449268,0.912299904550733
627aca3c41f4560c6f93cf1f,"libraries maybe have a stronger case for default exports, but inside your own application should stick to named exports.",2022-05-10 20:25:32.274000+00:00,negative,neg,0.04527815707206285,0.9547218429279392
627ad49c61f5ca3feef5d08f,i need a common name/namesake type to deal with clashes between different imports.,2022-05-10 21:09:48.543000+00:00,slightly_positive,pos,0.8191239602749893,0.18087603972500946
